box,box occupant,edge distance,season,eventID,repeated use,sp,cs,e,tm
boxrh00,common starling,287,2016,boxrh002016,no,0,1,0,0
boxrh49,common starling,35,2016,boxrh492016,no,0,1,0,0
boxrh55,common starling,84,2016,boxrh552016,no,0,1,0,0
boxrh56,common starling,128,2016,boxrh562016,no,0,1,0,0
boxrh58,common starling,152,2016,boxrh582016,no,0,1,0,0
boxrh62,common starling,92,2016,boxrh622016,no,0,1,0,0
boxrh72,common starling,51,2016,boxrh722016,no,0,1,0,0
boxrh100,common starling,222,2019,boxrh1002019,no,0,1,0,0
boxrh102,common starling,160,2019,boxrh1022019,no,0,1,0,0
boxrh103,common starling,145,2019,boxrh1032019,no,0,1,0,0
boxrh106,common starling,289,2019,boxrh1062019,no,0,1,0,0
boxrh107,common starling,406,2019,boxrh1072019,no,0,1,0,0
boxrh108,common starling,416,2019,boxrh1082019,no,0,1,0,0
boxrh110,common starling,409,2019,boxrh1102019,no,0,1,0,0
boxrh11,common starling,677,2019,boxrh112019,no,0,1,0,0
boxrh112,common starling,362,2019,boxrh1122019,no,0,1,0,0
boxrh114,common starling,373,2019,boxrh1142019,no,0,1,0,0
boxrh115,common starling,336,2019,boxrh1152019,no,0,1,0,0
boxrh117,common starling,296,2019,boxrh1172019,no,0,1,0,0
boxrh118,common starling,470,2019,boxrh1182019,no,0,1,0,0
boxrh119,common starling,355,2019,boxrh1192019,no,0,1,0,0
boxrh121,common starling,383,2019,boxrh1212019,no,0,1,0,0
boxrh122,common starling,357,2019,boxrh1222019,no,0,1,0,0
boxrh124,common starling,453,2019,boxrh1242019,no,0,1,0,0
boxrh125,common starling,461,2019,boxrh1252019,no,0,1,0,0
boxrh127,common starling,604,2019,boxrh1272019,no,0,1,0,0
boxrh13,common starling,663,2019,boxrh132019,no,0,1,0,0
boxrh132,common starling,220,2019,boxrh1322019,no,0,1,0,0
boxrh134,common starling,277,2019,boxrh1342019,no,0,1,0,0
boxrh136,common starling,278,2019,boxrh1362019,no,0,1,0,0
boxrh49,common starling,35,2019,boxrh492019,no,0,1,0,0
boxrh50,common starling,14,2019,boxrh502019,no,0,1,0,0
boxrh52,common starling,16,2019,boxrh522019,no,0,1,0,0
boxrh55,common starling,84,2019,boxrh552019,no,0,1,0,0
boxrh56,common starling,128,2019,boxrh562019,no,0,1,0,0
boxrh57,common starling,100,2019,boxrh572019,no,0,1,0,0
boxrh58,common starling,152,2019,boxrh582019,no,0,1,0,0
boxrh61,common starling,135,2019,boxrh612019,no,0,1,0,0
boxrh69,common starling,115,2019,boxrh692019,no,0,1,0,0
boxrh70,common starling,135,2019,boxrh702019,no,0,1,0,0
boxrh80,common starling,71,2019,boxrh802019,no,0,1,0,0
boxrh81,common starling,334,2019,boxrh812019,no,0,1,0,0
boxrh82,common starling,190,2019,boxrh822019,no,0,1,0,0
boxrh85,common starling,260,2019,boxrh852019,no,0,1,0,0
boxrh86,common starling,270,2019,boxrh862019,no,0,1,0,0
boxrh87,common starling,228,2019,boxrh872019,no,0,1,0,0
boxrh88,common starling,282,2019,boxrh882019,no,0,1,0,0
boxrh89,common starling,187,2019,boxrh892019,no,0,1,0,0
boxrh90,common starling,80,2019,boxrh902019,no,0,1,0,0
boxrh93,common starling,40,2019,boxrh932019,no,0,1,0,0
boxrh94,common starling,30,2019,boxrh942019,no,0,1,0,0
boxrh95,common starling,114,2019,boxrh952019,no,0,1,0,0
boxrh98,common starling,167,2019,boxrh982019,no,0,1,0,0
boxrh99,common starling,170,2019,boxrh992019,no,0,1,0,0
boxrh109,common starling,435,2019,boxrh1092019,yes,0,1,0,0
boxrh113,common starling,392,2019,boxrh1132019,yes,0,1,0,0
boxrh116,common starling,309,2019,boxrh1162019,yes,0,1,0,0
boxrh128,common starling,544,2019,boxrh1282019,yes,0,1,0,0
boxrh129,common starling,577,2019,boxrh1292019,yes,0,1,0,0
boxrh17,common starling,695,2019,boxrh172019,yes,0,1,0,0
boxrh51,common starling,14,2019,boxrh512019,yes,0,1,0,0
boxrh53,common starling,7,2019,boxrh532019,yes,0,1,0,0
boxrh54,common starling,66,2019,boxrh542019,yes,0,1,0,0
boxrh77,common starling,89,2019,boxrh772019,yes,0,1,0,0
boxrh91,common starling,141,2019,boxrh912019,yes,0,1,0,0
boxrh97,common starling,118,2019,boxrh972019,yes,0,1,0,0
boxrh01,empty,820,2016,boxrh012016,no,0,0,1,0
boxrh08,empty,762,2016,boxrh082016,no,0,0,1,0
boxrh11,empty,677,2016,boxrh112016,no,0,0,1,0
boxrh12,empty,697,2016,boxrh122016,no,0,0,1,0
boxrh15,empty,688,2016,boxrh152016,no,0,0,1,0
boxrh29,empty,705,2016,boxrh292016,no,0,0,1,0
boxrh30,empty,671,2016,boxrh302016,no,0,0,1,0
boxrh32,empty,735,2016,boxrh322016,no,0,0,1,0
boxrh34,empty,732,2016,boxrh342016,no,0,0,1,0
boxrh36,empty,778,2016,boxrh362016,no,0,0,1,0
boxrh38,empty,777,2016,boxrh382016,no,0,0,1,0
boxrh30,empty,671,2019,boxrh302019,no,0,0,1,0
boxrh05,swift parrot,715,2016,boxrh052016,no,1,0,0,0
boxrh09,swift parrot,735,2016,boxrh092016,no,1,0,0,0
boxrh103,swift parrot,145,2016,boxrh1032016,no,1,0,0,0
boxrh105,swift parrot,105,2016,boxrh1052016,no,1,0,0,0
boxrh108,swift parrot,416,2016,boxrh1082016,no,1,0,0,0
boxrh109,swift parrot,435,2016,boxrh1092016,no,1,0,0,0
boxrh111,swift parrot,355,2016,boxrh1112016,no,1,0,0,0
boxrh113,swift parrot,392,2016,boxrh1132016,no,1,0,0,0
boxrh117,swift parrot,296,2016,boxrh1172016,no,1,0,0,0
boxrh119,swift parrot,355,2016,boxrh1192016,no,1,0,0,0
boxrh126,swift parrot,476,2016,boxrh1262016,no,1,0,0,0
boxrh133,swift parrot,259,2016,boxrh1332016,no,1,0,0,0
boxrh134,swift parrot,277,2016,boxrh1342016,no,1,0,0,0
boxrh136,swift parrot,278,2016,boxrh1362016,no,1,0,0,0
boxrh137,swift parrot,183,2016,boxrh1372016,no,1,0,0,0
boxrh138,swift parrot,218,2016,boxrh1382016,no,1,0,0,0
boxrh17,swift parrot,695,2016,boxrh172016,no,1,0,0,0
boxrh33,swift parrot,745,2016,boxrh332016,no,1,0,0,0
boxrh47,swift parrot,48,2016,boxrh472016,no,1,0,0,0
boxrh68,swift parrot,122,2016,boxrh682016,no,1,0,0,0
boxrh80,swift parrot,71,2016,boxrh802016,no,1,0,0,0
boxrh82,swift parrot,190,2016,boxrh822016,no,1,0,0,0
boxrh83,swift parrot,253,2016,boxrh832016,no,1,0,0,0
boxrh86,swift parrot,270,2016,boxrh862016,no,1,0,0,0
boxrh87,swift parrot,228,2016,boxrh872016,no,1,0,0,0
boxrh88,swift parrot,282,2016,boxrh882016,no,1,0,0,0
boxrh92,swift parrot,115,2016,boxrh922016,no,1,0,0,0
boxrh95,swift parrot,114,2016,boxrh952016,no,1,0,0,0
boxrh98,swift parrot,167,2016,boxrh982016,no,1,0,0,0
boxrh03,swift parrot,774,2019,boxrh032019,no,1,0,0,0
boxrh05,swift parrot,715,2019,boxrh052019,no,1,0,0,0
boxrh06,swift parrot,749,2019,boxrh062019,no,1,0,0,0
boxrh101,swift parrot,97,2019,boxrh1012019,no,1,0,0,0
boxrh104,swift parrot,130,2019,boxrh1042019,no,1,0,0,0
boxrh105,swift parrot,105,2019,boxrh1052019,no,1,0,0,0
boxrh130,swift parrot,529,2019,boxrh1302019,no,1,0,0,0
boxrh20,swift parrot,794,2019,boxrh202019,no,1,0,0,0
boxrh48,swift parrot,29,2019,boxrh482019,no,1,0,0,0
boxrh83,swift parrot,253,2019,boxrh832019,no,1,0,0,0
boxrh84,swift parrot,370,2019,boxrh842019,no,1,0,0,0
boxrh109,swift parrot,435,2019,boxrh1092019,yes,1,0,0,0
boxrh113,swift parrot,392,2019,boxrh1132019,yes,1,0,0,0
boxrh116,swift parrot,309,2019,boxrh1162019,yes,1,0,0,0
boxrh135,swift parrot,250,2019,boxrh1352019,yes,1,0,0,0
boxrh42,swift parrot,731,2019,boxrh422019,yes,1,0,0,0
boxrh51,swift parrot,14,2019,boxrh512019,yes,1,0,0,0
boxrh53,swift parrot,7,2019,boxrh532019,yes,1,0,0,0
boxrh91,swift parrot,141,2019,boxrh912019,yes,1,0,0,0
boxrh97,swift parrot,118,2019,boxrh972019,yes,1,0,0,0
boxrh00,tree martin,35,2016,boxrh002016,no,0,0,0,1
boxrh00,tree martin,287,2016,boxrh002016,no,0,0,0,1
boxrh02,tree martin,866,2016,boxrh022016,no,0,0,0,1
boxrh03,tree martin,774,2016,boxrh032016,no,0,0,0,1
boxrh04,tree martin,808,2016,boxrh042016,no,0,0,0,1
boxrh06,tree martin,749,2016,boxrh062016,no,0,0,0,1
boxrh07,tree martin,779,2016,boxrh072016,no,0,0,0,1
boxrh10,tree martin,730,2016,boxrh102016,no,0,0,0,1
boxrh107,tree martin,406,2016,boxrh1072016,no,0,0,0,1
boxrh110,tree martin,409,2016,boxrh1102016,no,0,0,0,1
boxrh112,tree martin,362,2016,boxrh1122016,no,0,0,0,1
boxrh114,tree martin,373,2016,boxrh1142016,no,0,0,0,1
boxrh115,tree martin,336,2016,boxrh1152016,no,0,0,0,1
boxrh116,tree martin,309,2016,boxrh1162016,no,0,0,0,1
boxrh120,tree martin,377,2016,boxrh1202016,no,0,0,0,1
boxrh121,tree martin,383,2016,boxrh1212016,no,0,0,0,1
boxrh122,tree martin,357,2016,boxrh1222016,no,0,0,0,1
boxrh123,tree martin,408,2016,boxrh1232016,no,0,0,0,1
boxrh124,tree martin,453,2016,boxrh1242016,no,0,0,0,1
boxrh125,tree martin,461,2016,boxrh1252016,no,0,0,0,1
boxrh128,tree martin,544,2016,boxrh1282016,no,0,0,0,1
boxrh129,tree martin,577,2016,boxrh1292016,no,0,0,0,1
boxrh130,tree martin,529,2016,boxrh1302016,no,0,0,0,1
boxrh13,tree martin,663,2016,boxrh132016,no,0,0,0,1
boxrh14,tree martin,806,2016,boxrh142016,no,0,0,0,1
boxrh16,tree martin,782,2016,boxrh162016,no,0,0,0,1
boxrh18,tree martin,695,2016,boxrh182016,no,0,0,0,1
boxrh19,tree martin,771,2016,boxrh192016,no,0,0,0,1
